project,sprint.name,issues,velocity,work_capacity,sprint.startDate,sprint.endDate,storypoints,sprint_length,focus_factor,fields.assignee.name,old_devs,old_devs_abs,new_devs_abs,turnover_abs,current_devs_abs,turnover,new_devs,sprint.nbr,TSI,TSI_inv,individual_velocity,sprint.key,sigma_velocity,sigma_focusfactor,zone_velocity,zone_focusfactor
apstud,2012 Sprint 15,22,5.0,18.0,2012-07-27 00:00:00+00:00,2012-07-30 00:00:00+00:00,171.0,3.0,0.2777777777777778,['pinnamuri' 'fzadrozny' 'cwilliams' 'sgibly' 'mxia' 'cheadley'],['fzadrozny' 'mxia' 'sgibly' 'cwilliams' 'nle'],5.0,2.0,1.0,6,0.045454545454545456,0.09090909090909093,11.0,2.0,0.5,0.8333333333333334,apstud_2012 Sprint 15,-4.669236363636364,-4.189603305785122,D-,D-
apstud,2012 Sprint 16,17,103.0,116.0,2012-07-30 00:00:00+00:00,2012-08-13 00:00:00+00:00,160.0,14.0,0.8879310344827587,['fzadrozny' 'mxia' 'cwilliams' 'nle'],['pinnamuri' 'fzadrozny' 'cwilliams' 'sgibly' 'mxia' 'cheadley'],6.0,1.0,3.0,4,0.15,0.05,12.0,2.333333333333333,0.42857142857142855,25.75,apstud_2012 Sprint 16,0.4409454545454542,0.6907352522086067,N,N
apstud,2012 Sprint 17,24,175.0,220.0,2012-08-13 00:00:00+00:00,2012-08-27 00:00:00+00:00,180.0,14.0,0.7954545454545454,['fzadrozny' 'cwilliams' 'nle' 'sgibly' 'mxia'],['fzadrozny' 'mxia' 'cwilliams' 'nle'],4.0,1.0,0.0,5,0.0,0.05555555555555555,13.0,1.3333333333333333,0.75,35.0,apstud_2012 Sprint 17,2.338036363636363,-0.04894214876033078,N,N
apstud,2012 Sprint 18,15,81.0,86.0,2012-08-27 00:00:00+00:00,2012-09-10 00:00:00+00:00,105.0,14.0,0.9418604651162792,['fzadrozny' 'cwilliams' 'nle' 'ingo' 'sgibly'],['fzadrozny' 'cwilliams' 'nle' 'sgibly' 'mxia'],5.0,1.0,1.0,5,0.05,0.05,14.0,1.6666666666666667,0.6,16.2,apstud_2012 Sprint 18,-1.5176727272727275,1.1220922544685763,N,N
apstud,2012 Sprint 19,15,86.0,94.0,2012-09-10 00:00:00+00:00,2012-09-24 00:00:00+00:00,125.0,14.0,0.9148936170212766,['cwilliams' 'mxia' 'fzadrozny'],['fzadrozny' 'cwilliams' 'nle' 'ingo' 'sgibly'],5.0,1.0,3.0,3,0.1875,0.0625,15.0,2.333333333333333,0.42857142857142855,28.66666666666667,apstud_2012 Sprint 19,1.0391272727272733,0.9063966942148756,N,N
apstud,2012 Sprint 20,5,26.0,31.0,2012-09-24 00:00:00+00:00,2012-10-08 00:00:00+00:00,34.0,14.0,0.8387096774193549,['fzadrozny' 'cwilliams' 'pinnamuri' 'mxia'],['cwilliams' 'mxia' 'fzadrozny'],3.0,1.0,0.0,4,0.0,0.07142857142857142,16.0,1.3333333333333333,0.75,6.5,apstud_2012 Sprint 20,-3.507054545454545,0.2970359904025595,D-,N
apstud,2012 Sprint 21,5,20.0,28.0,2012-10-08 00:00:00+00:00,2012-10-22 00:00:00+00:00,25.0,14.0,0.7142857142857143,['mxia' 'fzadrozny'],['fzadrozny' 'cwilliams' 'pinnamuri' 'mxia'],4.0,0.0,2.0,2,0.16666666666666666,0.0,17.0,1.6666666666666667,0.6,10.0,apstud_2012 Sprint 21,-2.7892363636363635,-0.698174734356552,N,N
apstud,2012 Sprint 22,3,13.0,21.0,2012-10-22 00:00:00+00:00,2012-11-05 00:00:00+00:00,21.0,14.0,0.6190476190476191,['cwilliams' 'fzadrozny'],['mxia' 'fzadrozny'],2.0,1.0,1.0,2,0.125,0.125,18.0,1.6666666666666667,0.6,6.5,apstud_2012 Sprint 22,-3.507054545454545,-1.4599409681227853,D-,N
apstud,2012 Sprint 23,3,10.0,10.0,2012-11-05 00:00:00+00:00,2012-11-19 00:00:00+00:00,18.0,14.0,1.0,['cwilliams' 'mxia' 'pinnamuri'],['cwilliams' 'fzadrozny'],2.0,2.0,1.0,3,0.1,0.2,19.0,2.0,0.5,3.333333333333333,apstud_2012 Sprint 23,-4.156509090909091,1.587123966942148,D-,N
apstud,2012 Sprint 24,1,20.0,20.0,2012-11-19 00:00:00+00:00,2012-12-03 00:00:00+00:00,20.0,14.0,1.0,['cwilliams'],['cwilliams' 'mxia' 'pinnamuri'],3.0,0.0,2.0,1,0.25,0.0,20.0,1.6666666666666667,0.6,20.0,apstud_2012 Sprint 24,-0.7383272727272729,1.587123966942148,N,N
apstud,2012 Sprint 25,2,16.0,24.0,2012-12-03 00:00:00+00:00,2012-12-17 00:00:00+00:00,16.0,14.0,0.6666666666666666,['cwilliams'],['cwilliams'],1.0,0.0,0.0,1,0.0,0.0,21.0,1.0,1.0,16.0,apstud_2012 Sprint 25,-1.5586909090909093,-1.0790578512396691,N,N
apstud,2013 Sprint 01,3,21.0,26.0,2012-12-31 00:00:00+00:00,2013-01-14 00:00:00+00:00,26.0,14.0,0.8076923076923077,['mxia' 'sgibly'],['mxia'],1.0,1.0,0.0,2,0.0,0.16666666666666666,22.0,1.3333333333333333,0.75,10.5,apstud_2013 Sprint 01,-2.6866909090909092,0.04894214876033078,N,N
apstud,2013 Sprint 02,4,18.0,18.0,2013-01-14 00:00:00+00:00,2013-01-28 00:00:00+00:00,31.0,14.0,1.0,['sgibly' 'pinnamuri'],['mxia' 'sgibly'],2.0,1.0,1.0,2,0.125,0.125,23.0,1.6666666666666667,0.6,9.0,apstud_2013 Sprint 02,-2.994327272727273,1.587123966942148,N,N
apstud,2014 Sprint 01,1,8.0,8.0,2013-11-29 00:00:00+00:00,2014-01-17 00:00:00+00:00,8.0,49.0,1.0,['mxia'],['mxia'],1.0,0.0,0.0,1,0.0,0.0,24.0,1.0,1.0,8.0,apstud_2014 Sprint 01,-3.1994181818181815,1.587123966942148,D-,N
mesos,Q2'14 Sprint 2,10,55.0,237.0,2014-05-15 21:33:30.978000+00:00,2014-05-29 00:00:00+00:00,131.0,13.0,0.2320675105485232,['dhamon' 'xujyan' 'greggomann' 'vinodkone' nan],[nan],1.0,4.0,0.0,5,0.0,0.3333333333333333,1.0,1.8,0.5555555555555556,11.0,mesos_Q2'14 Sprint 2,0.6202701828753214,0.23335767804931667,N,N
mesos,Q2 Sprint 3,16,102.0,194.0,2014-05-31 00:00:30.253000+00:00,2014-06-12 00:00:00+00:00,199.0,11.0,0.5257731958762887,['idownes' 'vinodkone' 'dhamon' 'xujyan' nan],"['lins05' 'jieyu' 'kaysoky' 'jojy' 'nfnt' 'jvanremoortere' 'greggomann'
 'js84' 'gilbert' 'vinodkone' 'gyliu' 'karya' 'anandmazumdar' 'qianzhang'
 'bbannier' 'zhitao' 'arojas' 'jlarriba' 'alexr' 'neilc' 'guoger']",21.0,4.0,20.0,5,0.38461538461538464,0.07692307692307693,2.0,5.8,0.1724137931034483,20.4,mesos_Q2 Sprint 3,1.307641569605019,1.298403211934103,N,N
mesos,Q2 Sprint 4,7,20.0,67.0,2014-06-13 23:07:41.428000+00:00,2014-06-26 00:00:00+00:00,117.0,12.0,0.29850746268656714,['xujyan' 'idownes' 'dhamon'],['idownes' 'vinodkone' 'dhamon' 'xujyan' nan],5.0,0.0,2.0,3,0.125,0.0,3.0,1.4,0.7142857142857143,6.666666666666668,mesos_Q2 Sprint 4,0.06295716658112979,0.47428448958575375,N,N
mesos,Q3 Sprint 1,15,111.0,273.0,2014-07-14 19:03:06.602000+00:00,2014-07-24 00:00:00+00:00,369.0,9.0,0.4065934065934066,"['vinodkone' nan 'idownes' 'xujyan' 'alexandra.sava' 'bmahler'
 'benjaminhindman' 'bernd-mesos']",['dhamon' 'xujyan' 'greggomann' 'vinodkone' nan],5.0,5.0,2.0,8,0.07692307692307693,0.19230769230769232,4.0,2.4,0.4166666666666667,13.875,mesos_Q3 Sprint 1,0.8786782950637669,0.8662294112689514,N,N
mesos,Q3 Sprint 2,21,63.0,2237.0,2014-07-28 19:05:43.738000+00:00,2014-08-07 00:00:00+00:00,383.0,9.0,0.028162717925793473,"['jieyu' 'dhamon' 'vinodkone' 'xujyan' 'bmahler' 'idownes'
 'alexandra.sava' 'benjaminhindman' nan 'bernd-mesos']","['vinodkone' nan 'idownes' 'xujyan' 'alexandra.sava' 'bmahler'
 'benjaminhindman' 'bernd-mesos']",8.0,2.0,0.0,10,0.0,0.05555555555555555,5.0,1.4,0.7142857142857143,6.3,mesos_Q3 Sprint 2,0.0,-0.5060488079987484,N,N
mesos,Q3 Sprint 3,13,18.0,59.0,2014-08-11 19:00:25.705000+00:00,2014-08-23 00:00:00+00:00,380.0,11.0,0.3050847457627119,"['vinodkone' 'jieyu' 'xujyan' 'bmahler' 'alexandra.sava' 'idownes'
 'benjaminhindman' nan]","['jieyu' 'dhamon' 'vinodkone' 'xujyan' 'bmahler' 'idownes'
 'alexandra.sava' 'benjaminhindman' nan 'bernd-mesos']",10.0,0.0,2.0,8,0.05555555555555555,0.0,6.0,1.4,0.7142857142857143,2.25,mesos_Q3 Sprint 3,-1.145863857252825,0.49813525691947597,N,N
mesos,Q3 Sprint 4,15,7.0,21.0,2014-08-25 21:32:11.449000+00:00,2014-09-06 01:00:00+00:00,356.0,11.0,0.3333333333333333,"['dhamon' 'jieyu' nan 'nekto0n' 'bmahler' 'vinodkone' 'alexandra.sava'
 'idownes']","['vinodkone' 'jieyu' 'xujyan' 'bmahler' 'alexandra.sava' 'idownes'
 'benjaminhindman' nan]",8.0,2.0,2.0,8,0.0625,0.0625,7.0,1.8,0.5555555555555556,0.875,mesos_Q3 Sprint 4,-2.196955555869434,0.600571244827128,N,N
mesos,Mesos Q3 Sprint 6,15,6.0,1223.0,2014-09-22 18:30:00+00:00,2014-10-06 18:00:00+00:00,522.0,13.0,0.004905968928863451,['vinodkone' 'chzhcn' 'jieyu' 'idownes' nan 'bmahler' 'tstclair'],"['vinodkone' 'jieyu' 'idownes' 'dhamon' 'nekto0n' 'bmahler' 'xujyan'
 'alexandra.sava']",8.0,3.0,4.0,7,0.13333333333333333,0.1,8.0,2.4,0.4166666666666667,0.8571428571428571,mesos_Mesos Q3 Sprint 6,-2.219902768765453,-0.5903832212880857,N,N
mesos,Twitter Q4 Sprint 1,19,282.0,1874.0,2014-10-06 22:00:00+00:00,2014-10-20 18:00:00+00:00,807.0,13.0,0.15048025613660618,['jieyu' 'idownes' 'bmahler' 'vinodkone' 'dhamon' nan],['jieyu' 'vinodkone' 'wickman' 'pbrett' 'idownes' 'bmahler' 'wangcong'],7.0,2.0,3.0,6,0.1153846153846154,0.07692307692307693,9.0,2.0,0.5,47.0,mesos_Twitter Q4 Sprint 1,2.2364823750142304,-0.062496795575745015,N,N
mesos,Twitter Mesos Q4 Sprint 2,19,104.0,2274.0,2014-10-21 19:00:15.489000+00:00,2014-11-04 19:00:00+00:00,751.0,13.0,0.04573438874230431,['chzhcn' 'jieyu' 'vinodkone' 'dhamon' 'idownes' nan],['vinodkone' 'jieyu' 'chzhcn' 'wangcong' 'bmahler'],5.0,3.0,2.0,6,0.09090909090909093,0.13636363636363635,10.0,2.0,0.5,17.333333333333332,mesos_Twitter Mesos Q4 Sprint 2,1.126346232267055,-0.4423298183403303,N,N
mesos,Twitter Mesos Q4 Sprint 3,23,66.0,114.0,2014-11-03 19:00:03.609000+00:00,2014-11-17 19:00:00+00:00,866.0,13.0,0.5789473684210527,"['jieyu' 'vinodkone' nan 'idownes' 'dhamon' 'bmahler' 'klueska'
 'klaus1982']",['chzhcn' 'jieyu' 'vinodkone' 'dhamon' 'idownes' nan],6.0,3.0,1.0,8,0.03571428571428571,0.10714285714285714,11.0,1.8,0.5555555555555556,8.25,mesos_Twitter Mesos Q4 Sprint 3,0.30010869048178307,1.4912252028452406,N,N
mesos,Mesosphere Q4 Sprint 2 - 11/14,3,4.0,14011.0,2014-11-04 18:40:28.741000+00:00,2014-11-14 18:40:00+00:00,236.0,9.0,0.00028548997216472767,['bernd-mesos' 'alexr'],['cmaloney' 'bernd-mesos'],2.0,1.0,1.0,2,0.125,0.125,12.0,1.4,0.7142857142857143,2.0,mesos_Mesosphere Q4 Sprint 2 - 11/14,-1.276944644293212,-0.6071381590474584,N,N
mesos,Twitter Mesos Q4 Sprint 4,14,210.0,76245.0,2014-11-17 19:30:00+00:00,2014-12-01 19:00:00+00:00,944.0,13.0,0.002754278969112729,['jieyu' 'idownes' 'bmahler' 'dhamon' 'klaus1982'],"['jieyu' 'vinodkone' nan 'idownes' 'dhamon' 'bmahler' 'klueska'
 'klaus1982']",8.0,0.0,3.0,5,0.1153846153846154,0.0,13.0,1.6,0.625,42.0,mesos_Twitter Mesos Q4 Sprint 4,2.1113055827018044,-0.5981857525171964,N,N
mesos,Twitter Mesos Q4 Sprint 5,9,40.0,73.0,2014-12-01 19:30:00+00:00,2014-12-15 19:00:00+00:00,1098.0,13.0,0.547945205479452,['bmahler' 'chzhcn' 'jieyu' 'dhamon' 'klaus1982'],['jieyu' 'idownes' 'bmahler' 'dhamon' 'klaus1982'],5.0,1.0,1.0,5,0.05,0.05,14.0,1.4,0.7142857142857143,8.0,mesos_Twitter Mesos Q4 Sprint 5,0.26586289936171353,1.3788041063830718,N,N
mesos,Mesosphere Q1 Sprint 1 - 1/23,9,242.0,17655.0,2015-01-15 21:16:49.334000+00:00,2015-01-23 21:16:00+00:00,9246.0,7.0,0.013707165109034268,['mcypark' nan 'adam-mesos' 'jvanremoortere' 'bernd-mesos'],['vinodkone' 'chzhcn' 'jieyu' 'idownes' nan 'bmahler' 'tstclair'],7.0,4.0,6.0,5,0.25,0.16666666666666666,15.0,3.0,0.3333333333333333,48.4,mesos_Mesosphere Q1 Sprint 1 - 1/23,2.269148463390513,-0.5584680247059218,N,N
mesos,Twitter Mesos Q1 Sprint 1,19,40.0,7279.0,2015-01-20 19:59:00+00:00,2015-02-03 19:48:00+00:00,1073.0,13.0,0.005495260337958511,['bmahler' 'jieyu' 'vinodkone' 'idownes' 'chzhcn' 'dhamon'],"['dhamon' 'jieyu' nan 'nekto0n' 'bmahler' 'vinodkone' 'alexandra.sava'
 'idownes']",8.0,1.0,3.0,6,0.10714285714285714,0.03571428571428571,16.0,1.8,0.5555555555555556,6.666666666666668,mesos_Twitter Mesos Q1 Sprint 1,0.06295716658112979,-0.5882463127610582,N,N
mesos,Mesosphere Q1 Sprint 2 - 2/6,12,800.0,800.0,2015-01-23 16:54:34.977000+00:00,2015-02-06 16:54:00+00:00,10846.0,13.0,1.0,['karya' nan 'mcypark' 'adam-mesos' 'jvanremoortere' 'bernd-mesos'],['mcypark' nan 'adam-mesos' 'jvanremoortere' 'bernd-mesos'],5.0,1.0,0.0,6,0.0,0.045454545454545456,17.0,1.2,0.8333333333333334,133.33333333333334,mesos_Mesosphere Q1 Sprint 2 - 2/6,3.3969088005443218,3.01806055944772,D+,D+
mesos,Twitter Mesos Q1 Sprint 2,19,402.0,2148.0,2015-02-02 20:00:10.761000+00:00,2015-02-16 19:00:00+00:00,1425.0,13.0,0.1871508379888268,['pbrett' 'xujyan' 'jieyu' 'dhamon' 'vinodkone' 'bmahler' 'chzhcn'],['bmahler' 'jieyu' 'vinodkone' 'idownes' 'chzhcn' 'dhamon'],6.0,2.0,1.0,7,0.038461538461538464,0.07692307692307693,18.0,1.6,0.625,57.42857142857143,mesos_Twitter Mesos Q1 Sprint 2,2.459501312995473,0.07047931410724974,N,N
mesos,Mesosphere Q1 Sprint 3 - 2/20,16,100.0,7156.0,2015-02-06 16:47:50.469000+00:00,2015-02-20 16:47:00+00:00,11479.0,13.0,0.013974287311347122,"['mcypark' 'tillt' 'karya' 'tnachen' nan 'adam-mesos' 'jvanremoortere'
 'bernd-mesos']",['karya' nan 'mcypark' 'adam-mesos' 'jvanremoortere' 'bernd-mesos'],6.0,2.0,0.0,8,0.0,0.07142857142857142,19.0,1.4,0.7142857142857143,12.5,mesos_Mesosphere Q1 Sprint 3 - 2/20,0.7625359926683952,-0.5574993771012381,N,N
mesos,Twitter Mesos Q1 Sprint 3,17,619.0,1158.0,2015-02-17 18:00:00+00:00,2015-03-02 19:00:00+00:00,1558.0,13.0,0.5345423143350605,['vinodkone' 'chzhcn' 'bmahler' nan 'jieyu' 'dhamon' 'idownes' 'pbrett'],['pbrett' 'xujyan' 'jieyu' 'dhamon' 'vinodkone' 'bmahler' 'chzhcn'],7.0,2.0,1.0,8,0.03333333333333333,0.06666666666666668,20.0,1.6,0.625,77.375,mesos_Twitter Mesos Q1 Sprint 3,2.7912811727877465,1.3302020871931874,N,N
mesos,Twitter Mesos Q1 Sprint 4,18,86.0,233.0,2015-03-02 19:31:49.041000+00:00,2015-03-16 19:31:00+00:00,1474.0,13.0,0.369098712446352,"['vinodkone' 'idownes' 'jieyu' 'bmahler' 'wangcong' 'pbrett' 'chzhcn'
 'dhamon']",['vinodkone' 'chzhcn' 'bmahler' nan 'jieyu' 'dhamon' 'idownes' 'pbrett'],8.0,1.0,1.0,8,0.03125,0.03125,21.0,1.4,0.7142857142857143,10.75,mesos_Twitter Mesos Q1 Sprint 4,0.59468513893602,0.7302648775857438,N,N
mesos,Mesosphere Q1 Sprint 5 - 3/20,19,4.0,580.0,2015-03-09 23:12:33.987000+00:00,2015-03-20 23:12:00+00:00,11581.0,10.0,0.006896551724137931,"['mcypark' 'greggomann' 'marco-mesos' 'karya' 'tnachen' nan 'adam-mesos'
 'jvanremoortere' 'bernd-mesos']","['mcypark' 'marco-mesos' 'tillt' 'karya' 'tnachen' nan 'adam-mesos'
 'jvanremoortere' 'bernd-mesos']",9.0,1.0,1.0,9,0.027777777777777776,0.027777777777777776,22.0,1.4,0.7142857142857143,0.4444444444444444,mesos_Mesosphere Q1 Sprint 5 - 3/20,-2.9508329749885247,-0.5831649023319202,N,N
mesos,Twitter Mesos Q1 Sprint 5,15,90.0,330.0,2015-03-16 18:00:39.328000+00:00,2015-03-30 18:00:00+00:00,1383.0,13.0,0.2727272727272727,"['jieyu' 'idownes' 'wangcong' 'bmahler' 'vinodkone' 'mcypark' 'pbrett'
 'chzhcn']","['vinodkone' 'idownes' 'jieyu' 'bmahler' 'wangcong' 'pbrett' 'chzhcn'
 'dhamon']",8.0,1.0,1.0,8,0.03125,0.03125,23.0,1.4,0.7142857142857143,11.25,mesos_Twitter Mesos Q1 Sprint 5,0.6452802330554414,0.38079948895252874,N,N
mesos,Twitter Mesos Q1 Sprint 6,17,40.0,76.0,2015-03-30 18:19:20.617000+00:00,2015-04-06 18:00:00+00:00,1112.0,6.0,0.5263157894736842,['pbrett' 'jieyu' 'bmahler' 'chzhcn' 'idownes' 'vinodkone'],"['jieyu' 'idownes' 'wangcong' 'bmahler' 'vinodkone' 'mcypark' 'pbrett'
 'chzhcn']",8.0,0.0,2.0,6,0.07142857142857142,0.0,24.0,1.4,0.7142857142857143,6.666666666666668,mesos_Twitter Mesos Q1 Sprint 6,0.06295716658112979,1.3003707832699307,N,N
mesos,Mesosphere Q1 Sprint 7 - 4/17,19,34.0,393.0,2015-04-03 16:57:35.550000+00:00,2015-04-17 16:57:00+00:00,11447.0,13.0,0.08651399491094147,"['jvanremoortere' 'adam-mesos' 'mcypark' 'greggomann' 'marco-mesos'
 'karya' nan 'bernd-mesos']","['mcypark' 'greggomann' 'marco-mesos' 'karya' nan 'adam-mesos'
 'jvanremoortere' 'bernd-mesos']",8.0,0.0,0.0,8,0.0,0.0,25.0,1.0,1.0,4.25,mesos_Mesosphere Q1 Sprint 7 - 4/17,-0.4380717068304908,-0.2944534250896559,N,N
mesos,Twitter Q2 Sprint 1 - 4/13,10,19.0,273.0,2015-04-13 18:00:41.648000+00:00,2015-04-27 18:00:00+00:00,1059.0,13.0,0.0695970695970696,['chzhcn' 'pbrett' 'bmahler' 'jieyu' 'idownes' 'vinodkone'],['chzhcn' 'jieyu' 'bmahler' 'klaus1982'],4.0,3.0,1.0,6,0.05,0.15,26.0,1.8,0.5555555555555556,3.1666666666666665,mesos_Twitter Q2 Sprint 1 - 4/13,-0.7655309328894881,-0.35579815436343565,N,N
mesos,Mesosphere Q2 Sprint 8 - 5/1,23,48.0,532.0,2015-04-17 15:46:13.513000+00:00,2015-05-01 15:46:00+00:00,11496.0,13.0,0.09022556390977443,"['ijimenez' 'jvanremoortere' 'adam-mesos' 'mcypark' 'greggomann'
 'marco-mesos' 'karya' nan 'bernd-mesos']","['alexr' 'jvanremoortere' 'adam-mesos' 'mcypark' 'ijimenez' 'karya' nan
 'bernd-mesos']",8.0,2.0,1.0,9,0.029411764705882356,0.05882352941176471,27.0,1.6,0.625,5.333333333333333,mesos_Mesosphere Q2 Sprint 8 - 5/1,-0.18537938007221105,-0.2809944074969223,N,N
mesos,Twitter Q2 Sprint 2,16,131.0,411.0,2015-04-27 20:59:03.042000+00:00,2015-05-11 20:59:00+00:00,1213.0,13.0,0.31873479318734793,"['vinodkone' 'wangcong' 'jieyu' 'chzhcn' 'pbrett' 'hartem' 'bmahler'
 'idownes']",['chzhcn' 'pbrett' 'bmahler' 'jieyu' 'idownes' 'vinodkone'],6.0,2.0,0.0,8,0.0,0.07142857142857142,28.0,1.4,0.7142857142857143,16.375,mesos_Twitter Q2 Sprint 2,1.0630493006409605,0.5476335226091589,N,N
mesos,Twitter Q2 Sprint 3 - 5/11,16,17.0,115.0,2015-05-11 18:00:12.287000+00:00,2015-05-25 18:00:00+00:00,903.0,13.0,0.14782608695652175,['jieyu' 'vinodkone' 'wickman' 'pbrett' 'idownes' 'bmahler' 'wangcong'],"['jieyu' 'idownes' 'vinodkone' 'chzhcn' 'pbrett' 'wangcong' 'wickman'
 'bmahler']",8.0,0.0,1.0,7,0.03333333333333333,0.0,29.0,1.2,0.8333333333333334,2.4285714285714284,mesos_Twitter Q2 Sprint 3 - 5/11,-1.0608683389091937,-0.07212143402381913,N,N
mesos,Mesosphere Sprint 10,28,3.0,3.0,2015-05-15 16:30:26.106000+00:00,2015-05-26 01:00:00+00:00,11624.0,10.0,1.0,"['jvanremoortere' 'marco-mesos' 'js84' 'nnielsen' 'Bartek Plotka'
 'mcypark' 'alexr' 'ijimenez' 'karya' 'tnachen' nan 'adam-mesos'
 'bernd-mesos']",['bernd-mesos' 'mcypark' nan 'adam-mesos' 'jvanremoortere' 'alexr'],6.0,7.0,0.0,13,0.0,0.18421052631578946,30.0,2.4,0.4166666666666667,0.2307692307692308,mesos_Mesosphere Sprint 10,-3.6802355208534787,3.01806055944772,D-,D+
